"alias","treatment_name","culture","starch_g_per_kg","tuber_FW_kg_per_plant","starch_yield_g_per_plant"
"EA22","drought stress","72275",196.666666666667,0.422533333333333,83.1034666666667
"EA22","drought stress","72292",194.000466666667,0.203398333333333,39.3580936303333
"EA22","drought stress","72396",226.7532,0.7188,162.99020016
"EA22","drought stress","72482",191.677466681,1.254,240.542178373168
"EA252","control","72247",257.833333333333,0.888666666666667,230.233333333333
"EA252","control","72275",201.666666666667,1.4836,299.355866666667
"EA252","control","72292",195.3942,0.381363333333333,74.1942345103333
"EA252","control","72396",212.119,1.2306,260.10583312
"EA252","control","72482",185.836065548,0.815,151.386110543074
"EA252","drought stress","72247",251.6,0.208666666666667,61.2796
"EA252","drought stress","72275",178,0.386,68.6192
"EA252","drought stress","72292",208.9831,0.171663333333333,35.718710594
"EA252","drought stress","72396",213.1643,0.5456,116.62732132
"EA252","drought stress","72482",188.6196783845,0.7745,146.131398601347
"EA264","control","72247",264.833333333333,1.143,302.933
"EA264","control","72275",221.666666666667,0.917333333333333,202.996933333333
"EA264","control","72292",218.042366666667,0.38335,83.459164488
"EA264","control","72396",246.6139,1.1422,281.8866482
"EA264","control","72482",204.1804901285,1.348,274.986549523043
"EA264","drought stress","72247",207.5,0.872333333333333,178.490333333333
"EA264","drought stress","72275",195.333333333333,0.335333333333333,65.2285333333333
"EA264","drought stress","72292",190.864566666667,0.217878333333333,41.553622319
"EA264","drought stress","72396",245.5686,0.8898,219.94025564
"EA264","drought stress","72482",214.3611527015,1.085,232.462399424059
"EA269","control","72247",237.166666666667,1.18933333333333,288.174
"EA269","control","72275",221,1.21306666666667,268.579333333333
"EA269","control","72292",179.017833333333,0.405335,72.106388667
"EA269","control","72396",207.9378,1.3866,287.72320632
